Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Northern Kentucky University,3,4,Public,Southeast,Large Suburb,0.467,22,1024,11976,14603,6780,15000,22.48999977,62838.79,53630,321,35700,32800
Northern Michigan University,3,4,Public,Great Lakes,Remote Town,0.7313,22,1030,7959,18466,7442,14601,21.34000015,65244.05,57707,323,34100,30800
Northern State University,3,4,Public,Great Plains,Remote Town,0.9334,22,1030,1758,17334,6801,12821,21.76000023,55427.29,48591.5,68,33300,30300
Northwest Missouri State University,3,4,Public,Great Plains,Remote Town,0.7241,23,1050,5274,17005,6501,14815,20.31999969,68150.03,62365.5,129,37500,34400
Northwest Nazarene University,3,4,Private,Rocky Mountains,Mid-size Suburb,0.617,25,1079,1251,34498,5691,19500,22.27000046,71208.46,60526,54,37000,32300
Northwest University,3,4,Private,Far West,Large Suburb,0.972,24,1079,1354,34608,6395,14000,23.19000053,66831.58,56863,78,38500,35700
Northwestern College,3,3,Private,Great Plains,Distant Town,0.7609,24,1095,1147,37884,6206,20500,19.73999977,80605.26,68899,30,33800,32600
Northwestern Oklahoma State University,3,4,Public,Southwest,Remote Town,0.598,20,930,2005,13065,5246,7500,23.82999992,42897.39,33698,101,35500,33200
Northwestern State University of Louisiana,3,4,Public,Southeast,Remote Town,0.84,22,1007,7026,16605,5898,14000,23.13999939,40802.33,27444.5,559,35000,30100
Northwestern University,3,4,Private,Great Lakes,Small City,0.1532,33,1458,8855,60729,14525,18234,21.5,93582.8,71885.5,161,78000,58100
Northwood University-Michigan,3,4,Private,Great Lakes,Small City,0.6538,22,1029,2920,32803,6534,18750,25.45999908,63920.59,49456,207,45500,40800
Norwich University,3,4,Private,New England,Distant Town,0.6349,24,1065,2432,47341,7147,23000,20.01000023,88756.18,84597,59,46200,43800
Notre Dame College,3,4,Private,Great Lakes,Large Suburb,0.9024,20,943,1792,36250,4881,12750,26.62999916,59620.25,47506,36,40000,39400
Notre Dame de Namur University,3,4,Private,Far West,Large Suburb,0.872,20,972,1209,47115,8084,18750,24.44000053,72776,55277,46,51600,47500
Notre Dame of Maryland University,3,4,Private,Mid-Atlantic,Large City,0.4964,22,1036,1220,41871,7064,21732.5,27.38999939,69516.08,56669,42,47900,45600
Nova Southeastern University,3,4,Private,Southeast,Large Suburb,0.5746,24,1084,5053,40783,9482,19482,27.12000084,45894.94,31833,286,50400,42300
Nyack College,3,4,Private,Mid-Atlantic,Large Suburb,0.9671,20,915,1818,34586,6525,15750,29.56999969,55832,44111,194,44500,39200
Oakland University,3,4,Public,Great Lakes,Large Suburb,0.66,23,1070,16113,19198,8482,18250,22.19000053,68721.79,56986,291,41500,37900
Oakwood University,3,4,Private,Southeast,Mid-size City,0.3435,20,924,1854,34705,5307,22000,21.22999954,54196.14,42094.5,65,32300,27300
Oberlin College,3,4,Private,Great Lakes,Fringe Town,0.3041,30,1354,2894,59683,9872,23250,19.36000061,112508.35,97279,76,36700,33200
Occidental College,3,4,Private,Far West,Large City,0.4239,29,1303,2101,60655,10402,20900,19.61000061,86871.68,67714.5,43,46300,41100
Oglethorpe University,3,4,Private,Southeast,Large Suburb,0.5576,25,1131,1020,43689,4728,18459,22.32999992,62554.51,46214.5,35,41100,37600
Ohio Christian University,3,4,Private,Great Lakes,Distant Town,0.9711,20,939,3155,33077,1476,10035,28.5,44145.21,35443,29,31300,29400
Ohio Dominican University,3,4,Private,Great Lakes,Large City,0.494,22,1028,1483,40370,6712,21081.5,24.95000076,62680.61,49137.5,107,39100,35200
Ohio Northern University,3,4,Private,Great Lakes,Fringe Town,0.6785,26,1153,2205,49618,8551,25000,19.96999931,95686.34,89742,50,69500,57500
Ohio State University-Main Campus,3,4,Public,Great Lakes,Large City,0.5553,29,1289,43139,24524,11284,17000,21.04000092,75442.68,65600.5,1032,43800,38900
Ohio University-Main Campus,3,4,Public,Great Lakes,Distant Town,0.7295,24,1104,23331,23605,8294,14457,21.93000031,73621.04,62815,836,38900,35800
Ohio Wesleyan University,3,3,Private,Great Lakes,Large Suburb,0.7533,25,1123,1817,52819,8057,22192,19.5,101638.12,87265,35,40300,36500
Oklahoma Baptist University,3,4,Private,Southwest,Distant Town,0.5646,24,1098,1882,31759,6090,12000,20.61000061,67085.53,58859,56,35900,34100
Oklahoma Christian University,3,4,Private,Southwest,Large City,0.6321,25,1124,1949,29359,6581,15331,20.10000038,78247.94,70327,95,36400,33200
Oklahoma City University,3,4,Private,Southwest,Large City,0.7198,26,1163,1954,41431,7055,19749,24.01000023,66323.91,52723,69,44400,37000
Oklahoma Panhandle State University,3,3,Public,Southwest,Distant Rural,0.4767,19,890,1238,15439,4967,9375,22.62000084,42766.16,33556,59,35300,32300
Oklahoma State University-Main Campus,3,4,Public,Southwest,Distant Town,0.7602,25,1138,20314,21338,8254,14750.5,21.39999962,67548.85,52462,553,46000,39800
Oklahoma Wesleyan University,3,4,Private,Southwest,Distant Town,0.4934,21,981,1110,32241,5309,16664,29.70999908,61956.88,53772,45,49900,46700
Old Dominion University,3,4,Public,Southeast,Mid-size City,0.7679,21,1016,19483,20531,8729,18000,23.12000084,60966.47,48850,390,42800,39200
Olivet College,3,4,Private,Great Lakes,Distant Rural,0.5148,20,927,1016,31515,5258,19000,20.37000084,64499.03,57515,54,33600,31000
Olivet Nazarene University,3,4,Private,Great Lakes,Small Suburb,0.8196,24,1105,3325,39125,6769,19802,22.75,76119.58,68140,92,38700,33900
Oral Roberts University,3,4,Private,Southwest,Large City,0.4354,23,1037,2884,35070,6551,22500,21.82999992,66075.88,53889,124,36100,32200
Oregon Institute of Technology,3,4,Public,Far West,Remote Town,0.7135,23,1025,3443,18801,6667,18333.5,24.70999908,49667.8,38541,117,49800,48100
Oregon State University,3,4,Public,Far West,Small City,0.7894,24,1102,22349,22974,8692,16846,21.57999992,66705.26,54955,437,46400,41600
Otis College of Art and Design,3,4,Private,Far West,Large City,0.4628,22,1002,1029,52397,6936,26500,21.75,61484.47,36748,72,45400,42400
Otterbein University,3,4,Private,Great Lakes,Large Suburb,0.7374,24,1087,2436,41646,7287,22000,21.12000084,82698.54,75737,58,39600,37100
Ouachita Baptist University,3,3,Private,Southeast,Distant Town,0.7011,24,1090,1513,31473,4598,15000,19.59000015,82198.04,71658,51,36100,34600
Our Lady of the Lake University,3,4,Private,Southwest,Large City,0.6561,18,882,1509,33227,7587,17500,24.79000092,40781.84,31566.5,78,37000,35700
Pace University-New York,3,4,Private,Mid-Atlantic,Large City,0.7683,23,1043,7883,50625,11627,19500,21.48999977,67532.89,50322,296,55200,51000
Pacific Lutheran University,3,4,Private,Far West,Large Suburb,0.7676,25,1112,3062,45299,7369,22695,21.53000069,76518.77,67839.5,109,45400,42600
Pacific Union College,3,4,Private,Far West,Fringe Rural,0.5055,22,1017,1601,38800,6452,20832,22.81999969,79730.12,64885,47,51400,44600
Pacific University,3,4,Private,Far West,Large Suburb,0.8619,24,1102,1729,47922,7478,20758.5,21.01000023,73104.75,66418,43,40000,37200
Palm Beach Atlantic University,3,4,Private,Southeast,Mid-size City,0.8412,23,1061,2501,37535,7362,16297,24.42000008,75648.61,57521,138,41300,36000
Park University,3,4,Private,Great Plains,Large Suburb,0.9638,0,0,9723,21351,6110,13500,29.53000069,42976.53,34549,298,47300,43600
Pennsylvania State University-Main Campus,3,4,Public,Mid-Atlantic,Small City,0.542,27,1199,39460,31625,9902,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Abington,3,4,Public,Mid-Atlantic,Large Suburb,0.7774,21,942,3231,19611,7591,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Altoona,3,3,Public,Mid-Atlantic,Small City,0.8519,21,990,3779,27591,7264,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Berks,3,4,Public,Mid-Atlantic,Large Suburb,0.8307,22,988,2573,25931,7806,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Brandywine,3,3,Public,Mid-Atlantic,Large Suburb,0.7905,20,968,1327,19297,7519,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Erie-Behrend College,3,4,Public,Mid-Atlantic,Mid-size Suburb,0.8408,22,1052,3797,27759,8612,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Harrisburg,3,4,Public,Mid-Atlantic,Large Suburb,0.7994,23,1027,3461,26651,9042,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pennsylvania State University-Penn State Worthington Scranton,3,3,Public,Mid-Atlantic,Large Suburb,0.8186,21,941,1089,20183,7762,21500,20.87999916,81964.64,70439.5,1608,48100,43400
Pepperdine University,3,4,Private,Far West,Large Suburb,0.3734,0,1235,3516,58772,11650,25000,22.30999947,83597.93,60331,101,65400,52100
Philadelphia University,3,4,Private,Mid-Atlantic,Large City,0.6408,23,1062,2791,46451,7818,24750,20.47999954,91766.66,81316.5,70,44700,43600
Piedmont College,3,4,Private,Southeast,Distant Town,0.6118,22,1001,1281,32031,5734,16703,25.78000069,65873.24,49580.5,67,37900,37000
Pittsburg State University,3,4,Public,Great Plains,Distant Town,0.7898,22,1010,6005,15211,6987,13377.5,21.85000038,57010.56,48823,194,38200,35300
Pitzer College,3,3,Private,Far West,Large Suburb,0.1451,0,0,1081,59266,10084,14824,21.39999962,89206.81,61408,18,37100,34700
Plymouth State University,3,4,Public,New England,Remote Town,0.7748,21,965,3986,24828,8065,21000,19.92000008,89777.99,83925,98,35800,33900
Point Loma Nazarene University,3,4,Private,Far West,Large City,0.6654,26,1155,2543,43060,9653,20500,21.96999931,95289.35,78964,101,46900,43900
Point Park University,3,4,Private,Mid-Atlantic,Large City,0.7393,22,997,3164,36726,7853,22250,23.86000061,59212.25,46028,132,37300,32700
Point University,3,3,Private,Southeast,Distant Town,0.5353,20,946,1354,27497,5482,19500,21.85000038,66473.94,56038,18,29400,27800
Polytechnic Institute of New York University,3,4,Private,Mid-Atlantic,Large City,0.7523,30,1303,2078,50199,10047,21500,19.70000076,52746.28,35393,69,64400,62000
Pomona College,3,3,Private,Far West,Large Suburb,0.1392,33,1454,1587,57014,12326,8561,19.37999916,96962.74,63215,13,53400,43100
Pontifical Catholic University of Puerto Rico-Mayaguez,3,4,Private,Outlying Areas,Small City,0.3056,0,0,1369,9351,3645,7500,21.39999962,19995.17,14907,944,19000,16600
Pontifical Catholic University of Puerto Rico-Ponce,3,4,Private,Outlying Areas,Mid-size City,0.6496,0,0,5926,11355,4002,7500,21.39999962,19995.17,14907,944,19000,16600
Portland State University,3,4,Public,Far West,Large City,0.6117,0,1045,20085,19843,8286,18832,24.51000023,44977.8,29525.5,784,42600,38200
Prairie View A & M University,3,4,Public,Southwest,Distant Town,0.4232,18,845,6731,16782,7307,17438,20.61000061,44974.4,34372,234,34700,30900
Pratt Institute-Main,3,4,Private,Mid-Atlantic,Large City,0.5572,26,1140,3247,54582,9254,23241,20.88999939,75159.24,59029,168,40600,37300
Presbyterian College,3,3,Private,Southeast,Distant Town,0.66,25,1121,1069,45130,7217,18797,19.29999924,96598.95,84599,25,40600,37800
Princeton University,3,4,Private,Mid-Atlantic,Large Suburb,0.0741,33,1495,5234,55430,15711,7500,20.04000092,89090.02,50686,38,101500,66500
Providence College,3,4,Private,New England,Mid-size City,0.5979,26,1158,3969,56184,9471,27000,19.87999916,120179.81,110798,43,57700,52900
Purdue University-Calumet Campus,3,4,Public,Great Lakes,Large Suburb,0.6063,0,975,7466,16727,7937,16000,23.71999931,46173.26,33145,278,38200,34000
Purdue University-Main Campus,3,4,Public,Great Lakes,Mid-size Suburb,0.6042,27,1211,30167,23109,11005,20500,20.36000061,87549.24,77728,474,53800,47500
Purdue University-North Central Campus,3,4,Public,Great Lakes,Fringe Rural,0.7218,20,954,3514,13713,6971,12285.5,23.69000053,56178.87,47378,153,37300,32800
Queens University of Charlotte,3,4,Private,Southeast,Large City,0.7686,24,1058,1703,40930,4064,18812.5,25.37000084,61685.15,45248.5,47,41100,38100
Quincy University,3,4,Private,Great Lakes,Remote Town,0.8859,23,1048,1166,36948,5436,14000,21.57999992,69617.4,61719.5,39,39800,33500
Quinnipiac University,3,4,Private,New England,Large Suburb,0.6722,25,1102,6486,53476,8649,21852,19.89999962,118255.77,108100,81,57700,54100
Radford University,3,4,Public,Southeast,Small City,0.7831,20,980,8866,19987,7705,15000,20.37000084,82072.86,73931,177,41700,38900
Ramapo College of New Jersey,3,4,Public,Mid-Atlantic,Large Suburb,0.5526,23,1096,5397,27781,9521,19500,20.72999954,87457.04,79102,111,47000,45300
Randolph-Macon College,3,3,Private,Southeast,Large Suburb,0.637,24,1082,1294,45842,7406,19557,19.5,100119.41,92252.5,22,44000,39900
Reed College,3,4,Private,Far West,Large City,0.4853,31,1371,1351,57701,10092,15500,19.69000053,90869.88,69123.5,26,36000,28400
Regent University,3,4,Private,Southeast,Large City,0.8514,22,1067,2286,26825,7404,18500,32.15999985,44878.71,35970,21,42800,39500
Regis College,3,4,Private,New England,Large Suburb,0.7243,21,954,1188,47432,7055,24500,21.70999908,68233.94,55309,20,44900,41000
Regis University,3,4,Private,Rocky Mountains,Large City,0.6986,24,1087,4930,43058,6685,20501,29.94000053,68787.79,53578.5,196,53900,49100
Reinhardt University,3,4,Private,Southeast,Fringe Rural,0.514,22,1013,1191,30734,5710,9500,22.60000038,81710.16,67316.5,39,35400,33600
Rensselaer Polytechnic Institute,3,4,Private,Mid-Atlantic,Small City,0.412,29,1366,5379,59470,12145,27000,19.71999931,102722.37,94717.5,99,71900,70100
Rhode Island College,3,4,Public,New England,Large Suburb,0.6915,20,930,7253,14858,7607,15462,22.06999969,61954.74,52408,165,37300,35300
Rhode Island School of Design,3,4,Private,New England,Mid-size City,0.2731,28,1239,2005,59597,7949,25000,21.53000069,92334.03,75194,68,41700,39200
Rhodes College,3,4,Private,Southeast,Large City,0.5764,29,1288,2012,50659,8035,22991,19.48999977,126222.05,100407,27,48700,41400
Rice University,3,4,Private,Southwest,Large City,0.1674,33,1454,3920,52242,13468,7727,20.45999908,91944.43,71258,34,73200,56500
Rider University,3,4,Private,Mid-Atlantic,Large Suburb,0.7187,22,1038,4041,48163,10318,22125,20.80999947,92647.08,81460,107,46000,43800
Ringling College of Art and Design,3,3,Private,Southeast,Small City,0.7331,0,0,1253,54676,8143,27000,20.97999954,83784.47,65362.5,64,37400,30900
Rivier University,3,4,Private,New England,Small City,0.8928,19,932,1524,39525,6599,21000,23.31999969,82144.28,77445,43,43800,40700
Roanoke College,3,3,Private,Southeast,Mid-size Suburb,0.7281,24,1086,1980,48559,7327,24000,19.60000038,101613.37,89451,50,42900,38700
Robert Morris University,3,4,Private,Mid-Atlantic,Large Suburb,0.8051,23,1041,4459,38274,9890,21500,21.96999931,74080.91,63178.5,118,42500,39500
Robert Morris University Illinois,3,4,Private,Great Lakes,Large City,0.21,0,0,2775,32074,6485,14500,24.89999962,38626.98,27199,610,31100,28500
Roberts Wesleyan College,3,4,Private,Mid-Atlantic,Large Suburb,0.726,23,1046,1302,38826,6293,20432,25.17000008,64271.32,57714,53,41100,37600
Rochester Institute of Technology,3,4,Private,Mid-Atlantic,Large Suburb,0.6016,28,1232,12587,45772,9621,24500,20.64999962,82498.77,72166,332,56500,54000
Rockhurst University,3,4,Private,Great Plains,Large City,0.7543,26,1164,1682,40582,6863,14684,22.02000046,85877.41,73905.5,40,47600,43400
Roger Williams University,3,4,Private,New England,Large Suburb,0.8098,0,0,4403,48476,11045,20670,19.71999931,115567.69,102439,74,46000,43100
Rogers State University,3,3,Public,Southwest,Fringe Town,0.5445,20,950,3957,17213,5534,8250,24.84000015,38422.73,29974,289,33400,30500
Rollins College,3,4,Private,Southeast,Large Suburb,0.5889,27,1199,2608,56309,7767,23000,23.03000069,74429.57,46391,70,45600,40600
Roosevelt University,3,4,Private,Great Lakes,Large City,0.7878,22,1035,3596,43650,7992,18144,25.86000061,56408.85,39566.5,222,43400,39400
Rose-Hulman Institute of Technology,3,4,Private,Great Lakes,Small City,0.5622,30,1310,2165,55413,8411,26000,19.5,105688.73,91307,33,72500,71300
Rowan University,3,4,Public,Mid-Atlantic,Large Suburb,0.5923,0,1120,10656,26970,9370,18500,21.34000015,81120.55,74007.5,189,47400,45900
Rutgers University-Camden,3,4,Public,Mid-Atlantic,Small City,0.5859,0,1035,4777,22048,10679,19500,20.97999954,76131.15,59041,1048,55700,50300
Rutgers University-New Brunswick,3,4,Public,Mid-Atlantic,Small City,0.5951,0,1210,33427,28011,10967,19500,20.97999954,76131.15,59041,1048,55700,50300
Rutgers University-Newark,3,4,Public,Mid-Atlantic,Large City,0.5401,0,1059,6748,22046,12617,19500,20.97999954,76131.15,59041,1048,55700,50300
Sacred Heart University,3,4,Private,New England,Large Suburb,0.7624,0,0,4409,50984,8466,19500,20.47999954,108563.28,99091,72,51700,49500
Saginaw Valley State University,3,4,Public,Great Lakes,Fringe Rural,0.7865,21,990,8687,17876,7489,19000,22.38999939,61890.64,51643,203,37300,35000
Saint Ambrose University,3,4,Private,Great Plains,Mid-size City,0.9617,23,1050,2716,38189,6754,20500,21.84000015,82268.74,72155,66,43900,40500
Saint Anselm College,3,3,Private,New England,Mid-size Suburb,0.7365,25,1145,1912,48016,8086,27000,19.42000008,115142.41,101953,29,52400,48800
Saint Augustine's University,3,3,Private,Southeast,Large City,0.6738,15,749,1299,31095,5105,20250,21.67000008,39667.54,31823,145,25500,23100
Saint Cloud State University,3,4,Public,Great Plains,Small City,0.8691,22,1010,11535,17892,8224,15348,21.38999939,72449.18,66431,265,41500,38700
Saint Edward's University,3,4,Private,Southwest,Large City,0.7853,24,1117,4077,43046,7920,21500,23.13999939,77844.45,54531.5,133,47200,41400
Saint Francis University,3,4,Private,Mid-Atlantic,Fringe Town,0.7606,23,1026,1665,42492,7194,26123,20.52000046,79842.63,72643.5,31,48200,43900
Saint John Fisher College,3,4,Private,Mid-Atlantic,Large Suburb,0.6277,25,1095,2948,39014,8342,21500,20.77000046,82611.49,77096,59,43800,41400
Saint Johns University,3,4,Private,Great Plains,Fringe Rural,0.7516,26,1155,1871,46397,7899,23150,19.54999924,110742.05,99495,24,55000,51100
Saint Josephs College,3,4,Private,Great Lakes,Distant Town,0.6419,22,998,1096,37135,5443,13576.5,20.30999947,79082.58,75145.5,28,37900,35800
Saint Joseph's College of Maine,3,4,Private,New England,Fringe Rural,0.7778,0,960,1276,43119,5824,15683.5,20.70000076,84110.28,77122,25,39800,37100
Saint Joseph's College-New York,3,4,Private,Mid-Atlantic,Large City,0.7538,23,1054,4408,25290,8720,19500,23.87000084,75509.05,66404,128,50200,47800
Saint Joseph's University,3,4,Private,Mid-Atlantic,Large City,0.7873,24,1110,5265,52779,7113,20500,21.12000084,123938.82,109701.5,73,54800,51600
Saint Leo University,3,4,Private,Southeast,Small Suburb,0.7662,0,0,11993,31609,7100,17500,31.19000053,49157.22,36785,543,46100,41100
Saint Louis University,3,4,Private,Great Plains,Large City,0.6443,28,1237,7961,52413,10028,20500,20.87000084,103272.02,87461,119,52700,48100
Saint Martin's University,3,4,Private,Far West,Mid-size Suburb,0.876,22,1057,1299,40458,6350,19843,24.38999939,55215.19,43484,64,42900,40200
Saint Mary's College,3,3,Private,Great Lakes,Large Suburb,0.8568,26,1141,1470,45920,6258,26814,19.51000023,119024.16,103102,28,44700,41800
Saint Mary's College of California,3,4,Private,Far West,Fringe Rural,0.6947,25,1115,3039,56500,9229,21500,22.04000092,87410.41,65861,122,57800,50300
Saint Mary's University of Minnesota,3,4,Private,Great Plains,Distant Town,0.7485,23,1068,1897,38470,6585,18054,22.94000053,84470.77,75332,38,43300,39300
Saint Michael's College,3,4,Private,New England,Mid-size Suburb,0.7511,26,1173,1941,48894,8319,25000,19.42000008,110530.31,96675.5,32,44200,41600
Saint Norbert College,3,4,Private,Great Lakes,Mid-size Suburb,0.8194,25,1125,2128,40204,6730,23496,19.73999977,104626.75,91780.5,40,42900,39500
Saint Peter's University,3,4,Private,Mid-Atlantic,Large City,0.5408,19,913,2369,40921,8274,17500,21.94000053,57869.74,42545,85,42200,40000
Saint Vincent College,3,4,Private,Mid-Atlantic,Large Suburb,0.6875,23,1035,1532,41591,7116,25000,19.82999992,87118.24,80131,34,42600,40600
Saint Xavier University,3,4,Private,Great Lakes,Large City,0.5054,22,1010,2891,35284,7886,19150,22.59000015,65314.47,53937,131,43700,40800
Salem State University,3,4,Public,New England,Large Suburb,0.6929,22,986,7134,20601,8765,19415,21.75,63800.47,51386,159,40400,37600
Salisbury University,3,4,Public,Mid-Atlantic,Small Suburb,0.5494,24,1145,7767,20916,6688,16250,20.54999924,94182.53,87919.5,119,46000,44100
Salve Regina University,3,4,Private,New England,Large Suburb,0.6706,25,1109,1989,48219,7425,26303.5,19.46999931,110031.28,100931,25,46700,44800
Sam Houston State University,3,4,Public,Southwest,Distant Town,0.6499,21,999,16255,19173,7316,16490,21.46999931,60978.76,47405.5,324,41600,38400
Samford University,3,4,Private,Southeast,Large Suburb,0.7697,26,1153,2995,38835,8261,20000,21.02000046,92968.08,77481,76,48900,41400
San Diego State University,3,4,Public,Far West,Large City,0.3121,24,1090,26625,20252,9229,14495,21.98999977,57515.91,37534,711,47300,44000
San Francisco State University,3,4,Public,Far West,Large City,0.6379,22,998,25271,22267,9147,15000,22.86000061,46467.57,29962,896,45800,42100
San Jose State University,3,4,Public,Far West,Large City,0.6347,22,1030,25723,21160,9155,14000,22.54999924,43366.3,27853.5,575,52000,48100
Santa Clara University,3,4,Private,Far West,Mid-size City,0.5122,29,1294,5404,57213,11662,19500,19.95000076,120161.97,100259,84,69200,61500
Sarah Lawrence College,3,4,Private,Mid-Atlantic,Large Suburb,0.6166,0,0,1402,62636,9806,13126,21.76000023,90005.24,65944,51,39100,37700
Savannah College of Art and Design,3,4,Private,Southeast,Mid-size City,0.6547,24,1078,8750,49179,8024,21521.5,20.45999908,95838.42,78907,224,35800,29700
Savannah State University,3,4,Public,Southeast,Mid-size City,0.8299,18,847,4462,15531,5294,17126,20.86000061,42652.55,31664,110,30600,26800
School of the Art Institute of Chicago,3,4,Private,Great Lakes,Large City,0.7184,23,1065,2641,55551,9208,19503,22.37999916,65019.84,42495.5,115,33200,28800
Schreiner University,3,4,Private,Southwest,Remote Town,0.9262,22,995,1051,33631,5712,14250,23.54000092,57428.47,39382,46,36600,34700
Seattle Pacific University,3,4,Private,Far West,Large City,0.7214,26,1145,3354,45125,8258,20981.5,20.17000008,93870.01,81735,96,42400,40500
Seattle University,3,4,Private,Far West,Large City,0.7323,27,1175,4595,50610,9051,24000,21.61000061,78227.76,59408,137,52900,49500
Seton Hall University,3,4,Private,Mid-Atlantic,Large Suburb,0.7916,25,1121,5632,46869,9282,19500,20.77000046,87326.57,69730,146,55300,50900
Seton Hill University,3,4,Private,Mid-Atlantic,Large Suburb,0.652,23,1032,1550,40497,6822,22131,22.30999947,65432.14,56664,38,38400,36000
Sewanee-The University of the South,3,4,Private,Southeast,Distant Rural,0.6027,28,1248,1599,46530,8389,16000,19.60000038,110350.36,81758,22,39600,34300
Shaw University,3,4,Private,Southeast,Large City,0.5449,0,0,1923,27079,4929,15250,26.27000046,33268.01,25825,182,26800,25200
Shenandoah University,3,4,Private,Southeast,Small City,0.8456,23,1016,1859,41369,7367,20000,22.25,80643.74,71304,57,43200,38100
Shepherd University,3,4,Public,Southeast,Fringe Town,0.8102,22,1007,3695,14846,6561,14000,22.25,67931.47,59289.5,142,37900,36200
Shippensburg University of Pennsylvania,3,4,Public,Mid-Atlantic,Fringe Town,0.8341,20,980,6493,20840,9483,18000,20.20999908,81056.67,75275.5,138,42000,40400
Shorter University,3,4,Private,Southeast,Small City,0.6807,21,954,1518,30642,5154,25250,31.61000061,61885.8,48847,100,47300,43000
Siena College,3,4,Private,Mid-Atlantic,Large Suburb,0.6805,25,1122,3102,45452,8320,23000,19.73999977,100650.73,93663,68,52500,49400
Siena Heights University,3,4,Private,Great Lakes,Distant Town,0.6765,21,990,2325,31980,5676,15328,26.89999962,58057.31,48925,77,37900,34500
Simmons College,3,4,Private,New England,Large City,0.4897,26,1149,1710,51093,8098,25000,21.30999947,81764.35,67781,51,48400,46500
Simpson College,3,4,Private,Great Plains,Fringe Town,0.8802,24,1105,1687,40186,6312,22500,21.55999947,77864.13,71500,41,42100,40400
Simpson University,3,4,Private,Far West,Small City,0.555,22,1030,1024,33889,6144,16666,25.21999931,58109,44207,85,32300,28000
Skidmore College,3,4,Private,Mid-Atlantic,Small Suburb,0.3505,28,1247,2646,58562,9067,19500,20.25,103433.96,79221,47,46200,41900
Slippery Rock University of Pennsylvania,3,4,Public,Mid-Atlantic,Distant Town,0.6698,21,1002,7544,21303,9336,20500,20.54000092,69273.37,64717,183,38000,36100
Smith College,3,4,Private,New England,Large Suburb,0.4308,0,0,2606,57913,11800,19000,20.79000092,87888.48,68708.5,89,39700,37900
Sonoma State University,3,4,Public,Far West,Large Suburb,0.8186,22,1006,8321,23675,8448,14592,23.52000046,64411.44,46028,244,43600,40800
South Carolina State University,3,4,Public,Southeast,Distant Town,0.5079,18,851,2876,25265,6666,21750,20.64999962,37786.96,28809,136,27200,25100
South Dakota School of Mines and Technology,3,4,Public,Great Plains,Small City,0.8608,26,1183,2194,20234,8892,14875,21.61000061,66137.5,57505.5,53,51900,48600
South Dakota State University,3,4,Public,Great Plains,Remote Town,0.919,23,1050,10048,18547,7451,15269,20.92000008,68399.37,63089,191,42600,38200
Southeast Missouri State University,3,4,Public,Great Plains,Small City,0.8546,23,1049,9382,17093,6747,14000,22.61000061,57993.21,47781,217,36100,32500
Southeastern Louisiana University,3,4,Public,Southeast,Small City,0.448,22,1030,11704,15729,6335,11670,21.56999969,46591.28,32109.5,527,36200,33400
Southeastern Oklahoma State University,3,4,Public,Southwest,Distant Town,0.7992,20,950,3363,14050,6679,9860,23.76000023,38375.95,28378,235,35600,32200
Southeastern University,3,4,Private,Southeast,Small City,0.5932,20,955,2633,30333,6899,14250,22.65999985,65179.01,55937,92,31200,28300
Southern Adventist University,3,4,Private,Southeast,Large Suburb,0.3826,23,1050,2693,29085,5123,18554,20.89999962,70132.24,57374,77,37100,33600
Southern Arkansas University Main Campus,3,4,Public,Southeast,Remote Town,0.6081,21,989,2640,17738,6077,10500,22.40999985,37692.78,27662,129,33300,31700
Southern Connecticut State University,3,4,Public,New England,Mid-size City,0.7542,20,921,8257,18628,8318,17404,21.14999962,73298.65,62972.5,190,40300,38400
Southern Illinois University-Carbondale,3,4,Public,Great Lakes,Small City,0.7887,22,1032,13220,24234,7208,15245,22.17000008,59660.34,47485,512,41800,37400
Southern Illinois University-Edwardsville,3,4,Public,Great Lakes,Large Suburb,0.8419,23,1050,11179,21137,7859,14317,21.54000092,64774.34,56221,277,42200,37800
Southern Methodist University,3,4,Private,Southwest,Large Suburb,0.507,29,1302,6295,57947,11283,19000,21.15999985,95228.81,63543.5,148,59900,50400
Southern New Hampshire University,3,4,Private,New England,Mid-size City,0.7866,0,965,17172,39677,6991,7688,24.46999931,70725.24,56925,169,41100,38200
Southern Oregon University,3,4,Public,Far West,Mid-size Suburb,0.7304,0,1020,4436,18285,7096,18166,23.10000038,54285.08,40096.5,203,35900,32700
Southern Polytechnic State University,3,4,Public,Southeast,Small City,0.7798,24,1123,5636,16546,5941,14750,23.46999931,56655.45,44584,73,49500,48900
Southern University and A & M College,3,4,Public,Southeast,Mid-size City,0.359,19,890,5666,17928,6158,24250,20.81999969,33242.29,23636,199,32900,28700
