Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Geneva College,3,4,Private,Mid-Atlantic,Large Suburb,0.6802,23,1070,1532,34818,6808,20593,25.30999947,67412.84,60823.5,104,41300,36300
George Fox University,3,4,Private,Far West,Fringe Town,0.7528,23,1070,2358,41836,6742,18750,22.75,78838.13,66182,88,43500,38300
George Mason University,3,4,Public,Southeast,Large Suburb,0.6203,26,1155,21324,22332,10524,17250,22.03000069,72029.93,53311,440,55500,53100
George Washington University,3,4,Private,Mid-Atlantic,Large City,0.3308,29,1297,10121,58925,13058,22723,20.29999924,105732.4,85746,198,69400,60100
Georgetown College,3,4,Private,Southeast,Fringe Town,0.8219,24,1085,1034,42036,5999,21445,19.73999977,85596.2,79282.5,28,39800,35100
Georgetown University,3,4,Private,Mid-Atlantic,Large City,0.1697,31,1398,7261,59900,12851,17125,21.87000084,87179.34,60247,175,100300,76200
Georgia College and State University,3,4,Public,Southeast,Distant Town,0.6798,24,1126,5636,23052,6354,16250,20.72999954,81197.18,72314,134,38300,36300
Georgia Institute of Technology-Main Campus,3,4,Public,Southeast,Large City,0.5493,30,1352,13975,21980,11230,20750,20.03000069,94533.48,82697,154,69300,65700
Georgia Regents University,3,4,Public,Southeast,Mid-size City,0.4103,21,1002,5456,7715,7938,6250,0,0,0,0,0,0
Georgia Southern University,3,4,Public,Southeast,Remote Town,0.52,23,1094,17103,21513,6217,16250,20.59000015,75183.28,61757,377,39300,36600
Georgia Southwestern State University,3,4,Public,Southeast,Distant Town,0.6803,20,950,2598,17839,5689,14500,24,45710.89,31658.5,81,34900,31500
Georgia State University,3,4,Public,Southeast,Large City,0.5466,23,1060,24128,23124,7149,17070,22.56999969,53412.71,38306,645,40500,37500
Georgian Court University,3,4,Private,Mid-Atlantic,Small City,0.779,0,900,1398,38533,8029,19500,24.06999969,71795.42,59396,81,39100,38900
Gettysburg College,3,3,Private,Mid-Atlantic,Small City,0.4163,28,1282,2520,55770,9257,19957,19.34000015,131825.39,107490,39,51400,46200
Glenville State College,3,3,Public,Southeast,Remote Town,0.7446,19,879,1413,19910,6069,13282.5,21.13999939,42335.34,32757,129,33400,28900
Gonzaga University,3,4,Private,Far West,Mid-size City,0.6651,27,1204,4830,46475,8626,26035,20.57999992,102446.28,87057,82,52500,47900
Gordon College,3,4,Private,New England,Large Suburb,0.4133,26,1156,1681,43140,7783,23000,19.37000084,97646.34,88787,47,38300,36700
Goucher College,3,4,Private,Mid-Atlantic,Small City,0.7173,0,0,1444,50840,7810,19500,19.78000069,103640.46,88524,45,41800,40200
Grace College and Theological Seminary,3,4,Private,Great Lakes,Distant Town,0.7884,23,1050,1286,32506,5839,17675,20.17000008,78685.69,71611,56,33700,33800
Graceland University-Lamoni,3,4,Private,Great Plains,Remote Rural,0.5018,21,969,1434,34494,4986,18089.5,23.28000069,59558.41,52671.5,54,36600,33200
Grambling State University,3,4,Public,Southeast,Distant Town,0.4363,18,863,4100,20881,5794,23750,20.92000008,34278.86,23973,199,28400,24800
Grand Valley State University,3,4,Public,Great Lakes,Large Suburb,0.826,24,1090,21137,21512,7816,20898.5,20.79999924,78034.29,72885.5,426,39600,36900
Grand View University,3,4,Private,Great Plains,Mid-size City,0.9542,21,979,2079,31761,6421,18500,23.35000038,64073.16,54502,65,40200,38900
Greenville College,3,4,Private,Great Lakes,Distant Town,0.657,22,1033,1101,33675,5649,16568,23.21999931,65457.64,61294,54,35800,32400
Grinnell College,3,3,Private,Great Plains,Remote Town,0.3506,30,1357,1661,53318,9129,10022.5,19.37999916,98649.16,88440,26,47100,37600
Guilford College,3,3,Private,Southeast,Large City,0.6818,23,1067,2171,44255,6361,18500,27.39999962,57515.57,36082.5,107,36100,33400
Gustavus Adolphus College,3,3,Private,Great Plains,Fringe Town,0.6322,27,1224,2439,48422,7179,26000,19.44000053,108308.7,93107,30,45800,42400
Gwynedd Mercy University,3,4,Private,Mid-Atlantic,Large Suburb,0.6591,19,944,2031,39051,7046,20250,26.02000046,79474.28,70168,44,50200,48600
Hamilton College,3,3,Private,Mid-Atlantic,Fringe Rural,0.2719,31,1384,1909,57420,11159,15500,19.37000084,110802.25,99145,22,62800,52600
Hamline University,3,4,Private,Great Plains,Large City,0.6557,24,1106,2108,43433,6607,18250,22.78000069,71451.3,61451,68,47800,43100
Hampden-Sydney College,3,3,Private,Southeast,Distant Rural,0.5486,25,1113,1070,49139,7887,19500,19.47999954,123258.46,105824,19,46200,42500
Hampshire College,3,3,Private,New England,Large Suburb,0.6369,0,0,1468,57765,9033,16250,19.60000038,102781.22,88959,56,28500,25100
Hampton University,3,4,Private,Southeast,Mid-size City,0.3605,21,990,3529,32358,7455,22870,21,69758.11,55050,142,42100,38000
Hanover College,3,3,Private,Great Lakes,Distant Town,0.6673,26,1130,1159,42198,7847,22225,19.56999969,90897.96,82681,21,41500,37300
Harding University,3,4,Private,Southeast,Distant Town,0.7628,25,1139,4428,25475,7082,19801.5,20.59000015,83726.71,76594,168,38600,35500
Hardin-Simmons University,3,4,Private,Southwest,Mid-size City,0.3759,23,1035,1690,32001,6653,16137,20.94000053,71686.11,60884,71,40400,36700
Hartwick College,3,3,Private,Mid-Atlantic,Remote Town,0.8424,25,1126,1607,48699,8002,19500,19.52000046,92072.97,77126,32,38800,37300
Harvard University,3,4,Private,New England,Mid-size City,0.0584,34,1501,7278,57950,17861,7500,23.64999962,60645.79,33323.5,186,118700,77600
Hastings College,3,4,Private,Great Plains,Distant Town,0.7364,24,1083,1060,35673,6292,20500,19.84000015,80636.78,72062,28,39100,38500
Haverford College,3,3,Private,Mid-Atlantic,Large Suburb,0.2349,32,1400,1187,59654,10341,13399,19.31999969,108246.15,89312.5,10,54200,46000
Hawaii Pacific University,3,4,Private,Far West,Large City,0.6411,22,1005,5386,29762,8603,16250,23.52000046,58493.03,41600,191,47100,42100
Henderson State University,3,4,Public,Southeast,Distant Town,0.6221,22,1011,3190,18033,5606,10443,22.09000015,44544.81,32258,127,34100,32300
Hendrix College,3,4,Private,Southeast,Small City,0.8039,29,1267,1428,50172,7233,19500,19.47999954,100605.48,80333,27,39300,36100
High Point University,3,4,Private,Southeast,Mid-size City,0.6418,24,1087,3996,42300,6894,18250,24.95999908,62315.07,47907.5,108,37800,34900
Hiram College,3,4,Private,Great Lakes,Fringe Town,0.5736,22,1030,1260,42672,5420,21333.5,23.19000053,70702.85,63023.5,29,39500,35300
Hobart William Smith Colleges,3,4,Private,Mid-Atlantic,Distant Town,0.4944,0,0,2311,57699,9360,26500,19.37999916,112124.84,95616.5,24,50700,43800
